user_id,handle,handle_lc,is_deactivated,wallet,playlist_library
1,rayjacobson,rayjacobson,f,0x7d273271690538cf855e5b3002a0dd8c154bb060,"{""contents"":[{""type"":""playlist"",""playlist_id"":""123""},{""type"":""explore_playlist"",""playlist_id"":""Audio NFTs""},{""type"":""folder"",""id"":""bbcae31a-7cd2-4a1a-8b54-fdc979a34435"",""name"":""My Nested Playlists"",""contents"":[{""type"":""playlist"",""playlist_id"":""345""}]}]}"
2,stereosteve,stereosteve,f,0x1234567890abcdef,
3,someseller,someseller,f,0xc3d1d41e6872ffbd15c473d14fc3a9250be5b5e0,
4,accesstester,accesstester,f,0x4954d18926ba0ed9378938444731be4e622537b2,
5,guyintrending,guyintrending,f,0x34567890abcdef13,
6,TracksByPermalink,tracksbypermalink,f,0xffffffffff,
7,PlaylistsByPermalink,playlistsbypermalink,f,0xffffffffff,
8,AlbumsByPermalink,albumsbypermalink,f,0xffffffffff,
11,somebuyer,somebuyer,f,0x855d28d495ec1b06364bb7a521212753e2190b95,
91,badguy,badguy,t,0x4567890abcdef123,
100,authtest1,authtest1,f,0x681c616ae836ceca1effe00bd07f2fdbf9a082bc,
101,authtest2,authtest2,f,0xc451c1f8943b575158310552b41230c61844a1c1,
102,authtest3,authtest3,f,0x5f1a372b28956c8363f8bc3a231a6e9e1186ead8,
200,eventsuser,eventsuser,f,0xffffffffff,
201,eventsuser2,eventsuser2,f,0xffffffffff,
301,popularuser,popularuser,f,0x234567890abcdef1,
302,followseveryone,followseveryone,f,0x34567890abcdef12,
400,challenges_no_streak,challenges_no_streak,f,0x000,
401,challenges_finished_streak,challenges_finished_streak,f,0x001,
402,challenges_continued_streak,challenges_continued_streak,f,0x001,
403,challenges_hanging_streak,challenges_hanging_streak,f,0x001,